,Time_Start,Time_Stop,Time_Mid,RH,Dp,RI,GF,kappa
140,2024-06-10 13:16:42,2024-06-10 13:16:47,2024-06-10 13:16:44.500,84.81,350,1.5264,1.2238,0.14917197295012222
141,2024-06-10 13:17:12,2024-06-10 13:17:39,2024-06-10 13:17:25.500,83.6946,450,1.515,1.1921,0.1352239678776238
142,2024-06-10 13:21:00,2024-06-10 13:21:49,2024-06-10 13:21:24.500,84.0244,800,1.4116,1.0465,0.027775648312260186
143,2024-06-10 13:24:28,2024-06-10 13:24:57,2024-06-10 13:24:42.500,83.5118,200,1.5332,1.176,0.12366964935752751
144,2024-06-10 13:24:57,2024-06-10 13:25:27,2024-06-10 13:25:12.000,83.7424,200,1.5317,1.1749,0.12071906768773363
145,2024-06-10 13:25:28,2024-06-10 13:25:58,2024-06-10 13:25:43.000,84.3355,200,1.5281,1.2207,0.15211673236761114
146,2024-06-10 13:25:58,2024-06-10 13:26:28,2024-06-10 13:26:13.000,84.0016,200,1.5341,1.2548,0.1858276869951432
147,2024-06-10 13:26:28,2024-06-10 13:26:57,2024-06-10 13:26:42.500,84.3464,200,1.5301,1.2339,0.16306126207051239
148,2024-06-10 13:26:57,2024-06-10 13:27:27,2024-06-10 13:27:12.000,84.4691,200,1.5276,1.24,0.1666963029366507
149,2024-06-10 13:27:27,2024-06-10 13:27:57,2024-06-10 13:27:42.000,84.7548,200,1.5282,1.2453,0.16749460478647457
150,2024-06-10 13:27:58,2024-06-10 13:28:28,2024-06-10 13:28:13.000,84.728,200,1.5294,1.2533,0.17459385291711077
151,2024-06-10 13:28:28,2024-06-10 13:28:58,2024-06-10 13:28:43.000,84.8283,200,1.5295,1.2543,0.17408558600684673
152,2024-06-10 13:28:59,2024-06-10 13:29:29,2024-06-10 13:29:14.000,84.6391,200,1.535,1.2541,0.17647924519082958
153,2024-06-10 13:29:29,2024-06-10 13:29:59,2024-06-10 13:29:44.000,84.975,200,1.5321,1.2588,0.1758735848775112
154,2024-06-10 13:29:59,2024-06-10 13:30:29,2024-06-10 13:30:14.000,84.441,200,1.5324,1.2546,0.17960941881830284
155,2024-06-10 13:30:30,2024-06-10 13:31:00,2024-06-10 13:30:45.000,84.4292,200,1.5311,1.2525,0.17794500299952096
156,2024-06-10 13:33:03,2024-06-10 13:33:33,2024-06-10 13:33:18.000,85.3293,200,1.5294,1.2319,0.14949413913841986
157,2024-06-10 13:33:33,2024-06-10 13:33:39,2024-06-10 13:33:36.000,83.8667,200,1.541,1.2244,0.16073643161654091
158,2024-06-10 13:33:58,2024-06-10 13:34:34,2024-06-10 13:34:16.000,85.786,600,1.4904,1.2794,0.18130020496339658
159,2024-06-10 13:34:34,2024-06-10 13:35:24,2024-06-10 13:34:59.000,85.8526,600,1.4905,1.2958,0.19375249323961172
160,2024-06-10 13:35:58,2024-06-10 13:36:40,2024-06-10 13:36:19.000,85.4606,500,1.4909,1.3565,0.2545287564467093
161,2024-06-10 13:36:40,2024-06-10 13:37:08,2024-06-10 13:36:54.000,85.2023,500,1.4934,1.3543,0.25773010892056586
162,2024-06-10 13:37:28,2024-06-10 13:37:43,2024-06-10 13:37:35.500,84.7839,450,1.51,1.2764,0.1937382741205431
163,2024-06-10 13:37:51,2024-06-10 13:38:02,2024-06-10 13:37:56.500,85.4347,450,1.513,1.321,0.222516346872939
164,2024-06-10 13:38:26,2024-06-10 13:38:54,2024-06-10 13:38:40.000,85.2946,180,1.5352,1.0934,0.0529609737454798
165,2024-06-10 13:39:13,2024-06-10 13:39:41,2024-06-10 13:39:27.000,85.1536,200,1.5313,1.2241,0.1454444437537699
166,2024-06-10 13:40:00,2024-06-10 13:40:27,2024-06-10 13:40:13.500,84.414,250,1.5429,1.2718,0.19518135250302918
167,2024-06-10 13:40:51,2024-06-10 13:41:45,2024-06-10 13:41:18.000,83.7007,200,1.5424,1.2698,0.20396649050829027
168,2024-06-10 13:41:45,2024-06-10 13:42:10,2024-06-10 13:41:57.500,84.0817,200,1.5411,1.2384,0.17024607795929483
169,2024-06-10 13:45:41,2024-06-10 13:46:11,2024-06-10 13:45:56.000,85.0513,200,1.5345,1.2345,0.15490974719032832
170,2024-06-10 13:46:11,2024-06-10 13:48:01,2024-06-10 13:47:06.000,86.4796,200,1.5335,1.1708,0.09457141529619226
171,2024-06-10 13:48:01,2024-06-10 13:48:31,2024-06-10 13:48:16.000,85.738,200,1.5418,1.185,0.1104535035381345
172,2024-06-10 13:48:31,2024-06-10 13:48:59,2024-06-10 13:48:45.000,85.8114,200,1.5353,1.1816,0.10742957542410958
173,2024-06-10 13:48:59,2024-06-10 13:51:04,2024-06-10 13:50:01.500,85.8714,200,1.5375,1.2886,0.18751842222377788
174,2024-06-10 13:51:04,2024-06-10 13:51:23,2024-06-10 13:51:13.500,86.7727,200,1.5264,1.2594,0.15205810205081507
175,2024-06-10 14:11:57,2024-06-10 14:12:26,2024-06-10 14:12:11.500,85.3444,200,1.5499,1.1655,0.1001495369926503
176,2024-06-10 14:12:26,2024-06-10 14:12:53,2024-06-10 14:12:39.500,83.8985,200,1.5515,1.1441,0.09549504782891784
177,2024-06-10 14:12:53,2024-06-10 14:13:21,2024-06-10 14:13:07.000,84.3074,200,1.5392,1.1159,0.07251006894139618
178,2024-06-10 14:13:21,2024-06-10 14:13:50,2024-06-10 14:13:35.500,84.6821,200,1.5427,1.1451,0.09071795275504382
179,2024-06-10 14:13:50,2024-06-10 14:14:19,2024-06-10 14:14:04.500,84.6291,200,1.542,1.1381,0.08611802575563933
180,2024-06-10 14:14:19,2024-06-10 14:14:47,2024-06-10 14:14:33.000,84.4569,200,1.5374,1.157,0.10100200042978594
181,2024-06-10 14:14:47,2024-06-10 14:14:59,2024-06-10 14:14:53.000,83.8658,200,1.5341,1.128,0.0837337373352825
182,2024-06-10 14:15:19,2024-06-10 14:15:48,2024-06-10 14:15:33.500,84.7024,180,1.5255,1.0313,0.017495070358030308
183,2024-06-10 14:15:48,2024-06-10 14:16:02,2024-06-10 14:15:55.000,84.6981,180,1.5249,1.0098,0.005363745414466114
184,2024-06-10 14:16:21,2024-06-10 14:16:47,2024-06-10 14:16:34.000,84.4346,200,1.5452,1.151,0.09675461441382736
185,2024-06-10 14:17:08,2024-06-10 14:17:36,2024-06-10 14:17:22.000,85.3549,250,1.5429,1.2409,0.15627038058594192
186,2024-06-10 14:17:55,2024-06-10 14:18:24,2024-06-10 14:18:09.500,85.4764,350,1.5227,1.2888,0.19382105319163132
187,2024-06-10 14:18:52,2024-06-10 14:19:22,2024-06-10 14:19:07.000,85.3158,450,1.5171,1.2437,0.15899068205399602
188,2024-06-10 14:21:09,2024-06-10 14:21:39,2024-06-10 14:21:24.000,85.3486,450,1.5363,1.3299,0.23210985614789356
189,2024-06-10 14:22:05,2024-06-10 14:22:39,2024-06-10 14:22:22.000,85.9141,350,1.5225,1.2888,0.18702215134562256
190,2024-06-10 14:23:01,2024-06-10 14:23:25,2024-06-10 14:23:13.000,85.4406,250,1.544,1.2444,0.15796300007510758
191,2024-06-10 14:23:48,2024-06-10 14:24:12,2024-06-10 14:24:00.000,84.5471,200,1.545,1.1204,0.0742849978458176
192,2024-06-10 14:24:34,2024-06-10 14:25:02,2024-06-10 14:24:48.000,84.6342,180,1.5256,1.0332,0.01868991944196151
193,2024-06-10 14:25:22,2024-06-10 14:25:49,2024-06-10 14:25:35.500,85.2512,200,1.5405,1.1428,0.08520231114735889
194,2024-06-10 14:26:08,2024-06-10 14:26:36,2024-06-10 14:26:22.000,84.8432,250,1.5389,1.2409,0.16270588666724572
195,2024-06-10 14:26:55,2024-06-10 14:27:24,2024-06-10 14:27:09.500,85.0826,350,1.5206,1.2773,0.1900400684903235
196,2024-06-10 14:27:59,2024-06-10 14:28:26,2024-06-10 14:28:12.500,84.8344,200,1.5358,1.1949,0.12622057014401028
197,2024-06-10 14:48:05,2024-06-10 14:49:08,2024-06-10 14:48:36.500,85.1289,200,1.5354,1.2779,0.18986044103749788
198,2024-06-10 14:49:08,2024-06-10 14:49:38,2024-06-10 14:49:23.000,84.6251,200,1.5514,1.1964,0.12944780413663864
